source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
data_prices_cleaned,0,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",55.0,1.0,1.0,184998.0
data_prices_cleaned,1,apartment,Sousse,Chatt Mariem,Chatt Mariem,"Sousse,Chatt mariem",71.0,2.0,1.0,210000.0
data_prices_cleaned,2,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",600.0,4.0,2.0,1300000.0
data_prices_cleaned,4,apartment,Ben Arous,Ezzahra,Ezzahra,"Ben Arous,Ezzahra",85.0,2.0,0.0,175000.0
data_prices_cleaned,5,house,Monastir,Monastir,Monastir,"Monastir,Monastir",405.0,4.0,3.0,670000.0
data_prices_cleaned,6,apartment,Monastir,Monastir,Monastir,"Monastir,Monastir",45.0,1.0,1.0,130000.0
data_prices_cleaned,7,house,Sousse,Sousse,Sousse,"Sousse,Sousse",409.0,5.0,3.0,715000.0
data_prices_cleaned,9,house,Mahdia,Mahdia,Mahdia,"Mahdia,Mahdia",230.0,3.0,2.0,390000.0
data_prices_cleaned,10,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",120.0,3.0,1.0,250000.0
data_prices_cleaned,14,house,Sousse,Khzema,Khzema,"Sousse,Khzema",400.0,3.0,4.0,1300000.0
data_prices_cleaned,15,apartment,Monastir,Monastir,Monastir,"Monastir,Monastir",77.0,1.0,1.0,220000.0
data_prices_cleaned,16,apartment,Ariana,Ghazela,Ghazela,"Ariana,Ghazela",98.0,2.0,1.0,148000.0
data_prices_cleaned,19,apartment,Ben Arous,Mgrine,Mgrine,"Ben Arous,Mgrine",100.0,3.0,2.0,330000.0
data_prices_cleaned,22,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",85.0,2.0,1.0,155000.0
data_prices_cleaned,23,house,Sousse,Hammam Sousse,Hammam Sousse,"Sousse,Hammam Sousse",300.0,3.0,2.0,470000.0
data_prices_cleaned,27,house,Mahdia,Autres Villes,Autres Villes,"Mahdia,Autres Villes",450.0,7.0,3.0,1190000.0
data_prices_cleaned,29,house,Sousse,Sousse Riadh,Sousse Riadh,"Sousse,Sousse Riadh",180.0,5.0,3.0,270000.0
data_prices_cleaned,30,house,La Manouba,Oued Ellil,Oued Ellil,"La Manouba,Oued Ellil",306.0,4.0,1.0,250000.0
data_prices_cleaned,31,house,La Manouba,Djedeida,Djedeida,"La Manouba,Djedeida",130.0,3.0,1.0,190000.0
data_prices_cleaned,33,apartment,Tunis,Ain Zaghouan Nord,Ain Zaghouan Nord,"Tunis,Ain Zaghouan Nord",170.0,3.0,2.0,740000.0
data_prices_cleaned,34,apartment,Tunis,L Aouina,L Aouina,"Tunis,L Aouina",62.0,1.0,0.0,185000.0
data_prices_cleaned,35,house,Monastir,Monastir,Monastir,"Monastir,Monastir",102.0,2.0,1.0,165000.0
data_prices_cleaned,36,house,Ariana,Jardins El Menzah,Jardins El Menzah,"Ariana,Jardins El Menzah",100.0,5.0,3.0,405000.0
data_prices_cleaned,39,apartment,Tunis,La Marsa,La Marsa,"Tunis,La Marsa",160.0,3.0,2.0,450000.0
data_prices_cleaned,40,house,Sousse,Akouda,Akouda,"Sousse,Akouda",566.0,4.0,2.0,680000.0
data_prices_cleaned,49,house,Sousse,Hammam Sousse,Hammam Sousse,"Sousse,Hammam Sousse",200.0,1.0,3.0,670000.0
data_prices_cleaned,54,apartment,Sousse,Sousse,Sousse,"Sousse,Sousse",80.0,1.0,1.0,85000.0
data_prices_cleaned,60,house,Monastir,Sahline,Sahline,"Monastir,Sahline",200.0,3.0,1.0,260000.0
data_prices_cleaned,63,house,Tunis,El Omrane Suprieur,El Omrane Suprieur,"Tunis,El Omrane Suprieur",549.0,7.0,3.0,860000.0
data_prices_cleaned,67,house,Sousse,Akouda,Akouda,"Sousse,Akouda",600.0,5.0,2.0,450000.0
data_prices_cleaned,68,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",100.0,3.0,1.0,210000.0
data_prices_cleaned,70,apartment,Sousse,Kantaoui,Kantaoui,"Sousse,Kantaoui",187.0,3.0,1.0,750000.0
data_prices_cleaned,72,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",120.0,2.0,1.0,290000.0
data_prices_cleaned,73,apartment,Sousse,Khzema,Khzema,"Sousse,Khzema",130.0,3.0,1.0,450000.0
data_prices_cleaned,77,house,Ariana,La Soukra,La Soukra,"Ariana,La Soukra",1000.0,5.0,5.0,1200000.0
data_prices_cleaned,83,apartment,Sfax,Sfax,Sfax,"Sfax,Sfax",126.0,3.0,1.0,125000.0
data_prices_cleaned,84,apartment,Nabeul,Klibia,Klibia,"Nabeul,Klibia",96.0,2.0,1.0,145000.0
data_prices_cleaned,86,house,Nabeul,Korba,Korba,"Nabeul,Korba",400.0,6.0,1.0,230000.0
data_prices_cleaned,90,house,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",433.0,3.0,1.0,1030000.0
data_prices_cleaned,91,apartment,Sousse,Sahloul,Sahloul,"Sousse,Sahloul",170.0,3.0,3.0,493000.0
data_prices_cleaned,100,house,Sousse,Hergla,Hergla,"Sousse,Hergla",160.0,3.0,2.0,280000.0
data_prices_cleaned,101,apartment,Sousse,Hergla,Hergla,"Sousse,Hergla",58.0,1.0,1.0,265000.0
data_prices_cleaned,102,house,Sousse,Hergla,Hergla,"Sousse,Hergla",352.0,3.0,5.0,800000.0
data_prices_cleaned,104,apartment,Sousse,Hergla,Hergla,"Sousse,Hergla",63.0,1.0,1.0,199000.0
data_prices_cleaned,105,apartment,Sousse,Hergla,Hergla,"Sousse,Hergla",68.0,1.0,1.0,173000.0
data_prices_cleaned,106,house,Sousse,Hergla,Hergla,"Sousse,Hergla",144.0,2.0,2.0,260000.0
data_prices_cleaned,107,apartment,Sousse,Hergla,Hergla,"Sousse,Hergla",119.0,3.0,1.0,182000.0
data_prices_cleaned,114,house,La Manouba,Mornaguia,Mornaguia,"La Manouba,Mornaguia",500.0,6.0,5.0,650000.0
data_prices_cleaned,116,house,Ariana,Raoued,Raoued,"Ariana,Raoued",500.0,3.0,1.0,280000.0
data_prices_cleaned,117,house,Ariana,Ariana Ville,Ariana Ville,"Ariana,Ariana Ville",142.0,2.0,2.0,280000.0
data_prices_cleaned,121,house,Ariana,Ariana,Ariana,"Ariana,Ariana",100.0,2.0,1.0,250000.0
data_prices_cleaned,124,house,Nabeul,Hammamet,Hammamet,"Nabeul,Hammamet",380.0,4.0,2.0,1050000.0
