source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
tunisia_real_estate,0,apartment,Tunis,Sidi El Bechir,Sidi El Bechir,Sidi El Bechir,70.0,,,120000.0
tunisia_real_estate,1,apartment,Sousse,Akouda,Akouda,Akouda,74.0,,,230000.0
tunisia_real_estate,4,apartment,Sousse,Hammam Sousse,Hammam Sousse,Hammam Sousse,145.0,,,160000.0
tunisia_real_estate,7,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,220.0,,,570000.0
tunisia_real_estate,11,land,Sousse,Bou Ficha,Bou Ficha,Bou Ficha,713.0,0.0,0.0,110000.0
tunisia_real_estate,12,house,Nabeul,Hammamet,Hammamet,Hammamet,296.0,,,900000.0
tunisia_real_estate,13,land,Nabeul,Hammamet,Hammamet,Hammamet,420.0,0.0,0.0,630000.0
tunisia_real_estate,14,apartment,Nabeul,Hammamet,Hammamet,Hammamet,95.0,,,270000.0
tunisia_real_estate,15,land,Nabeul,Kelibia,Kelibia,Kelibia,700.0,0.0,0.0,175000.0
tunisia_real_estate,16,apartment,Tunis,La Marsa,La Marsa,La Marsa,130.0,,,277000.0
tunisia_real_estate,19,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,111.0,,,195000.0
tunisia_real_estate,20,land,Mahdia,Mahdia,Mahdia,Mahdia,2632.0,0.0,0.0,920000.0
tunisia_real_estate,21,land,Ben Arous,Mohamadia,Mohamadia,Mohamadia,6449.0,0.0,0.0,650000.0
tunisia_real_estate,22,house,Nabeul,Hammamet,Hammamet,Hammamet,280.0,,,850000.0
tunisia_real_estate,24,house,Ariana,La Soukra,La Soukra,La Soukra,280.0,,,500000.0
tunisia_real_estate,25,house,Ariana,Raoued,Raoued,Raoued,175.0,,,570000.0
tunisia_real_estate,27,apartment,Tunis,Ettahrir,Ettahrir,Ettahrir,150.0,,,268000.0
tunisia_real_estate,28,house,Nabeul,Hammamet,Hammamet,Hammamet,350.0,,,1200000.0
tunisia_real_estate,29,house,Nabeul,Hammamet,Hammamet,Hammamet,450.0,,,1520000.0
tunisia_real_estate,32,land,Sousse,Kalaa Essghira,Kalaa Essghira,Kalaa Essghira,1153.0,0.0,0.0,86475.0
tunisia_real_estate,34,house,Nabeul,Hammamet,Hammamet,Hammamet,320.0,,,1250000.0
tunisia_real_estate,38,land,Nabeul,Hammamet,Hammamet,Hammamet,303.0,0.0,0.0,90900.0
tunisia_real_estate,40,apartment,Sousse,Akouda,Akouda,Akouda,85.0,,,240000.0
tunisia_real_estate,41,house,Nabeul,Hammamet,Hammamet,Hammamet,310.0,,,1200000.0
tunisia_real_estate,43,house,Tunis,El Omrane Superieur,El Omrane Superieur,El Omrane Superieur,101.0,,,310000.0
tunisia_real_estate,45,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,567.0,,,930000.0
tunisia_real_estate,50,land,Tunis,La Marsa,La Marsa,La Marsa,496.0,0.0,0.0,992000.0
tunisia_real_estate,52,house,Nabeul,Hammamet,Hammamet,Hammamet,320.0,,,1300000.0
tunisia_real_estate,53,apartment,Tunis,La Marsa,La Marsa,La Marsa,134.0,,,340000.0
tunisia_real_estate,54,land,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,320.0,0.0,0.0,480000.0
tunisia_real_estate,56,house,Sfax,Sakiet Eddaier,Sakiet Eddaier,Sakiet Eddaier,150.0,,,120000.0
tunisia_real_estate,58,land,Nabeul,El Haouaria,El Haouaria,El Haouaria,222.0,0.0,0.0,77000.0
tunisia_real_estate,59,apartment,Ben Arous,Bou Mhel El Bassatine,Bou Mhel El Bassatine,Bou Mhel El Bassatine,100.0,,,125000.0
tunisia_real_estate,61,house,Nabeul,Hammamet,Hammamet,Hammamet,800.0,,,1750000.0
tunisia_real_estate,62,apartment,Sousse,Hammam Sousse,Hammam Sousse,Hammam Sousse,50.0,,,75000.0
tunisia_real_estate,65,land,Sousse,Kalaa Essghira,Kalaa Essghira,Kalaa Essghira,561.0,0.0,0.0,710000.0
tunisia_real_estate,68,apartment,Nabeul,Hammamet,Hammamet,Hammamet,122.0,,,305000.0
tunisia_real_estate,70,apartment,Tunis,La Marsa,La Marsa,La Marsa,167.0,,,467000.0
tunisia_real_estate,71,house,Ben Arous,Rades,Rades,Rades,480.0,,,1130000.0
tunisia_real_estate,73,house,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,1200.0,,,2000000.0
tunisia_real_estate,75,house,Ariana,La Soukra,La Soukra,La Soukra,170.0,,,210000.0
tunisia_real_estate,77,house,Nabeul,Hammamet,Hammamet,Hammamet,230.0,,,900000.0
tunisia_real_estate,78,house,Nabeul,Kelibia,Kelibia,Kelibia,110.0,,,265000.0
tunisia_real_estate,80,land,Tunis,La Marsa,La Marsa,La Marsa,400.0,0.0,0.0,1600000.0
tunisia_real_estate,81,land,Tunis,Cite El Khadra,Cite El Khadra,Cite El Khadra,1000.0,0.0,0.0,2800000.0
tunisia_real_estate,85,house,Ben Arous,El Mourouj,El Mourouj,El Mourouj,260.0,,,670000.0
tunisia_real_estate,86,house,Nabeul,Hammamet,Hammamet,Hammamet,300.0,,,225000.0
tunisia_real_estate,87,apartment,Nabeul,Hammamet,Hammamet,Hammamet,80.0,,,330000.0
tunisia_real_estate,88,land,Ariana,Raoued,Raoued,Raoued,506.0,0.0,0.0,177000.0
tunisia_real_estate,90,house,Nabeul,Kelibia,Kelibia,Kelibia,512.0,,,500000.0
tunisia_real_estate,91,land,Nabeul,Menzel Temime,Menzel Temime,Menzel Temime,1378.0,0.0,0.0,344000.0
tunisia_real_estate,96,house,Nabeul,Hammamet,Hammamet,Hammamet,400.0,,,1520000.0
tunisia_real_estate,97,land,Bizerte,Bizerte Nord,Bizerte Nord,Bizerte Nord,400.0,0.0,0.0,440000.0
tunisia_real_estate,100,land,Monastir,Monastir,Monastir,Monastir,371.0,0.0,0.0,426650.0
tunisia_real_estate,101,apartment,Manouba,Mannouba,Mannouba,Mannouba,95.0,,,170000.0
tunisia_real_estate,102,house,Sousse,Sousse Ville,Sousse Ville,Sousse Ville,300.0,,,250000.0
tunisia_real_estate,104,apartment,Sfax,Sfax Ville,Sfax Ville,Sfax Ville,56.0,,,106000.0
tunisia_real_estate,105,land,Ben Arous,Mornag,Mornag,Mornag,137.0,0.0,0.0,80000.0
tunisia_real_estate,107,house,Tunis,La Marsa,La Marsa,La Marsa,800.0,,,2200000.0
tunisia_real_estate,108,land,Nabeul,Hammamet,Hammamet,Hammamet,1000.0,0.0,0.0,150000.0
tunisia_real_estate,112,land,Monastir,Monastir,Monastir,Monastir,300.0,0.0,0.0,435000.0
