source_dataset,source_row_id,property_family,surface_m2,rooms,price_tnd,price_per_m2,log_price_tnd,log_price_per_m2,normalized_locality,geo_governorate,geo_delegation,lon,lat
property_prices_in_tunisia,221,apartment,52.0,2.0,85000.0,1634.6153846153843,11.350406535472452,7.399162816891026,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,2061,apartment,54.0,1.0,150000.0,2777.777777777778,11.918390573078392,7.929406526514119,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1554,apartment,70.0,3.0,110000.0,1571.428571428571,11.608235644774552,7.359740402725194,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1558,apartment,70.0,1.0,123000.0,1757.142857142857,11.719939634354557,7.471444392305195,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,230,apartment,70.0,2.0,230000.0,3285.714285714286,12.345834587905332,8.097339345855973,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,288,apartment,76.0,3.0,120000.0,1578.9473684210527,11.695247021764184,7.3645136814778525,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,502,apartment,80.0,4.0,220000.0,2750.0,12.301382825334498,7.919356190660617,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,2464,apartment,90.0,3.0,90000.0,1000.0,11.407564949312402,6.907755278982137,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,57,apartment,90.0,2.0,205000.0,2277.777777777778,12.230765258120543,7.73095558779028,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,722,apartment,91.0,2.0,185000.0,2032.967032967033,12.128111104060462,7.6172515975436115,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,454,apartment,98.0,3.0,130000.0,1326.530612244898,11.77528972943772,7.190322250767148,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1845,apartment,100.0,3.0,150000.0,1500.0,11.918390573078392,7.313220387090301,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,904,apartment,100.0,2.0,220000.0,2200.0,12.301382825334498,7.696212639346407,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,3295,apartment,100.0,3.0,220000.0,2200.0,12.301382825334498,7.696212639346407,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,2261,apartment,103.0,3.0,150000.0,1456.3106796116506,11.918390573078392,7.283661584848757,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,2260,apartment,108.0,3.0,185000.0,1712.962962962963,12.128111104060462,7.445979876936242,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,872,apartment,110.0,3.0,120000.0,1090.909090909091,11.695247021764184,6.994766655971767,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1800,apartment,110.0,4.0,143000.0,1300.0,11.870599909242044,7.170119543449628,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1482,apartment,110.0,2.0,220000.0,2000.0,12.301382825334498,7.600902459542082,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,2056,apartment,111.0,2.0,170000.0,1531.5315315315315,12.0435537160324,7.334023514720065,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,222,apartment,120.0,3.0,245000.0,2041.6666666666667,12.409013489526863,7.621521746744818,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1670,apartment,126.0,3.0,255000.0,2023.809523809524,12.449018824140564,7.612736917189085,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,1081,apartment,130.0,3.0,245000.0,1884.6153846153843,12.409013489526863,7.541479039071281,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,3041,apartment,140.0,5.0,162000.0,1157.142857142857,11.99535161421452,7.053709191605217,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,2146,apartment,150.0,4.0,375000.0,2500.0,12.834681304952548,7.824046010856292,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,689,apartment,152.0,3.0,260000.0,1710.5263157894738,12.468436909997664,7.444556389151389,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,225,apartment,153.0,3.0,339000.0,2215.686274509804,12.733755386362589,7.703317464970151,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
property_prices_in_tunisia,271,apartment,153.0,4.0,360000.0,2352.9411764705883,12.793859310432293,7.763421389039857,Ariana,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,3077,apartment,70.0,3.0,130000.0,1857.142857142857,11.77528972943772,7.52679448738836,Ariana Essoughra,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,594,apartment,80.0,2.0,125000.0,1562.5,11.736069016284436,7.354042381610556,Ariana Essoughra,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,1362,apartment,85.0,2.0,125000.0,1470.5882352941176,11.736069016284436,7.293417759794122,Ariana Essoughra,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,2543,apartment,120.0,3.0,298000.0,2483.333333333333,12.604848765487542,7.817357022705496,Ariana Essoughra,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
data_prices_cleaned,3014,apartment,125.0,2.0,310000.0,2480.0,12.644327576461327,7.8160138391590275,Ariana Essoughra,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
tunisia_real_estate,8464,apartment,18.0,2.0,120000.0,6666.666666666667,11.695247021764184,8.804875263868018,Ariana Ville,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
tunisia_real_estate,1981,apartment,24.0,2.0,260000.0,10833.333333333334,12.468436909997664,9.29038307964972,Ariana Ville,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
tunisia_real_estate,10517,apartment,26.0,1.0,150000.0,5769.2307692307695,11.918390573078392,8.66029403505691,Ariana Ville,Ariana,Ariana Medina,10.157769595238113,36.87160507142861
