source_dataset,source_row_id,property_family,surface_m2,rooms,price_tnd,price_per_m2,log_price_tnd,log_price_per_m2,normalized_locality,geo_governorate,geo_delegation,lon,lat
data_prices_cleaned,2464,apartment,90.0,3.0,90000.0,1000.0,11.407564949312402,6.907755278982137,Ariana,Ariana,Ariana Medina,,
data_prices_cleaned,594,apartment,80.0,2.0,125000.0,1562.5,11.736069016284436,7.354042381610556,Ariana Essoughra,Ariana,Ariana Medina,,
data_prices_cleaned,1362,apartment,85.0,2.0,125000.0,1470.5882352941176,11.736069016284436,7.293417759794122,Ariana Essoughra,Ariana,Ariana Medina,,
data_prices_cleaned,733,apartment,30.0,1.0,128999.0,4299.966666666666,11.76755993137578,8.366362549713623,Ariana Ville,Ariana,Ariana Medina,,
data_prices_cleaned,3843,house,277.0,,750000.0,2707.581227436823,13.527828485512494,7.903810979325154,Kelibia,Nabeul,Kelibia,11.063755001801828,36.84001196936942
data_prices_cleaned,2289,house,300.0,6.0,790000.0,2633.333333333333,13.579788224443204,7.876005749787003,Kelibia,Nabeul,Kelibia,11.063755001801828,36.84001196936942
data_prices_cleaned,1037,house,310.0,4.0,849997.0,2741.925806451613,13.652988099048509,7.916415801569314,Kelibia,Nabeul,Kelibia,11.063755001801828,36.84001196936942
data_prices_cleaned,1714,house,431.0,9.0,900000.0,2088.167053364269,13.710150042306449,7.6440419522027,Kelibia,Nabeul,Kelibia,11.063755001801828,36.84001196936942
data_prices_cleaned,503,house,180.0,3.0,370000.0,2055.555555555556,12.821258284620408,7.628301433730197,Agba,Tunis,Sidi Hassine,10.080528018181854,36.765965854545485
data_prices_cleaned,2458,house,285.0,4.0,440000.0,1543.859649122807,12.994530005894443,7.342040825625793,Agba,Tunis,Sidi Hassine,10.080528018181854,36.765965854545485
data_prices_cleaned,2483,house,150.0,0.0,150000.0,1000.0,11.918390573078392,6.907755278982137,Sjoumi,Tunis,Sijoumi,10.158584612903264,36.796512096774215
data_prices_cleaned,3691,house,210.0,3.0,180000.0,857.1428571428571,12.100712129872347,6.753604599154879,Bir Mchergua,Zaghouan,Bir Mchergua,9.987335670967768,36.51394583225811
property_prices_in_tunisia,221,apartment,52.0,2.0,85000.0,1634.6153846153843,11.350406535472452,7.399162816891026,Ariana,Ariana,Ariana Medina,,
property_prices_in_tunisia,1554,apartment,70.0,3.0,110000.0,1571.428571428571,11.608235644774552,7.359740402725194,Ariana,Ariana,Ariana Medina,,
property_prices_in_tunisia,511,apartment,45.0,1.0,120000.0,2666.6666666666665,11.695247021764184,7.888584531993863,Ariana Ville,Ariana,Ariana Medina,,
property_prices_in_tunisia,1750,apartment,70.0,1.0,120000.0,1714.2857142857142,11.695247021764184,7.446751779714824,Ariana Ville,Ariana,Ariana Medina,,
property_prices_in_tunisia,9635,house,100.0,2.0,65000.0,650.0,11.082142548877776,6.476972362889683,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
property_prices_in_tunisia,9628,house,110.0,2.0,65000.0,590.9090909090909,11.082142548877776,6.381662183085358,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
property_prices_in_tunisia,9637,house,171.0,2.0,65000.0,380.1169590643275,11.082142548877776,5.940478992375114,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
property_prices_in_tunisia,9608,house,100.0,2.0,70000.0,700.0,11.156250521031495,6.551080335043404,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
property_prices_in_tunisia,8739,house,200.0,6.0,320000.0,1600.0,12.676076274775909,7.377758908227872,Zaghouan,Zaghouan,Zaghouan,10.17772701680675,36.422230495798345
property_prices_in_tunisia,8799,house,150.0,2.0,75000.0,500.0,11.225243392518449,6.214608098422191,Ez-zeriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
property_prices_in_tunisia,8816,house,120.0,4.0,120000.0,1000.0,11.695247021764184,6.907755278982137,Ez-zeriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
property_prices_in_tunisia,8860,house,120.0,4.0,160000.0,1333.3333333333333,11.982929094215963,7.195437351433918,Ez-zeriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
tunisia_real_estate,18213,apartment,120.0,1.0,60000.0,500.0,11.002099841204238,6.214608098422191,Ariana Ville,Ariana,Ariana Medina,,
tunisia_real_estate,1906,apartment,80.0,3.0,75000.0,937.5,11.225243392518449,6.843216757844566,Ariana Ville,Ariana,Ariana Medina,,
tunisia_real_estate,3125,apartment,85.0,3.0,88000.0,1035.2941176470588,11.385092093460344,6.942440836970027,Ariana Ville,Ariana,Ariana Medina,,
tunisia_real_estate,12568,apartment,80.0,3.0,100000.0,1250.0,11.512925464970229,7.1308988302963465,Ariana Ville,Ariana,Ariana Medina,,
tunisia_real_estate,2679,house,400.0,,1250000.0,3125.0,14.038654109278484,8.047189562170502,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
tunisia_real_estate,3761,house,500.0,,1250000.0,2500.0,14.038654109278484,7.824046010856292,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
tunisia_real_estate,549,house,666.0,,1250000.0,1876.8768768768768,14.038654109278484,7.537364438738095,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
tunisia_real_estate,14882,house,800.0,,1250000.0,1562.5,14.038654109278484,7.354042381610556,Hammamet,Nabeul,Hammamet,10.586179342891317,36.40996490442063
tunisia_real_estate,2346,land,9127.0,0.0,105000.0,11.504327818560316,11.56171562913966,2.442723296622783,Hammam Zriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
tunisia_real_estate,22892,land,5000.0,0.0,120000.0,24.0,11.695247021764184,3.1780538303479458,Hammam Zriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
tunisia_real_estate,20824,land,5000.0,0.0,130000.0,26.0,11.77528972943772,3.258096538021482,Hammam Zriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
tunisia_real_estate,453,land,3000.0,0.0,165000.0,55.0,12.013700752882718,4.007333185232471,Hammam Zriba,Zaghouan,Zriba,10.216242982456166,36.30945274561407
